activity_metric,chemical_feature,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value,n_samples,correlation_strength,correlation_direction,pearson_corrected_p,spearman_corrected_p
broad_spectrum_index,pathogen_count,,,,,2803,very_weak,negative,,
broad_spectrum_index,total_tp_count,-0.054483785198402725,0.003909022371545415,-0.480130063815936,1.293849540140357e-161,2803,very_weak,negative,,
broad_spectrum_index,total_tn_count,-0.07766089607838678,3.8548331038477125e-05,-0.9488673586511375,0.0,2803,very_weak,negative,,
broad_spectrum_index,total_fp_count,,,,,2803,very_weak,negative,,
broad_spectrum_index,total_fn_count,,,,,2803,very_weak,negative,,
broad_spectrum_index,overall_avg_attribution,0.2869754191360714,2.7840917915733743e-54,0.40518815695954624,3.0944451783399734e-111,2803,very_weak,positive,,
broad_spectrum_index,overall_max_attribution,0.10983415636540653,5.541351454745464e-09,0.025818098353117176,0.17177734223347726,2803,very_weak,positive,,
broad_spectrum_index,SA_tp_count,-0.05964143842418574,0.0015829936952615196,-0.510621837291956,5.303832595922432e-186,2803,very_weak,negative,,
broad_spectrum_index,SA_tn_count,-0.06306623040709039,0.0008354488976198857,-0.730986871785395,0.0,2803,very_weak,negative,,
broad_spectrum_index,SA_total_count,-0.060373648902096566,0.0013844393954655712,-0.5449389502693761,1.3753173952756291e-216,2803,very_weak,negative,,
broad_spectrum_index,EC_tp_count,-0.04973701794887006,0.008445992199368566,-0.358939418013908,5.3835563729941794e-86,2803,very_weak,negative,,
broad_spectrum_index,EC_tn_count,-0.09434660806049616,5.616330554021105e-07,-0.7886116194465926,0.0,2803,very_weak,negative,,
broad_spectrum_index,EC_total_count,-0.057091443909155645,0.002496780643970024,-0.4613110400649587,9.435319368239559e-148,2803,very_weak,negative,,
broad_spectrum_index,CA_tp_count,-0.03978827981101087,0.0351678905454591,-0.27802155776187015,6.342211020128554e-51,2803,very_weak,negative,,
broad_spectrum_index,CA_tn_count,-0.07077591270395614,0.00017673091244340615,-0.7036905474691819,0.0,2803,very_weak,negative,,
broad_spectrum_index,CA_total_count,-0.046624041162112315,0.013561426984352065,-0.3715516513213452,1.7760853784237928e-92,2803,very_weak,negative,,
broad_spectrum_index,molecular_weight,0.40942464904692216,9.322110273912355e-114,0.5827437913372382,1.1512500017218332e-254,2803,weak,positive,,
