compound_id,smiles,violations,violation_details,SA_binary,EC_binary,CA_binary,SA_ensemble,EC_ensemble,CA_ensemble,SA_mic,EC_mic,CA_mic,MW,LogP,TPSA,HBD,HBA,RotBonds,Rings,Fsp3
CHEMBL2234109,O=C1CSC2=CC(Cl)=CC=C2N1C1CCCCC1,4,"['LogP: 4.11 (range: 1.39-4.01)', 'HBD: 0 (range: 0.23-1.59)', 'Rings: 3 (range: 1.88-2.92)', 'Fsp3: 0.5 (range: 0.13-0.49)']",1,1,1,0.9291839122772216,0.8457454919815064,0.7897398591041564,16.0,32.0,64.0,281.8,4.11,20.3,0,2,1,3,0.5
CHEMBL2429879,O=C1CSC2(CCCCC2)N1C1=CC=C(Br)C=C1,4,"['LogP: 4.19 (range: 1.39-4.01)', 'HBD: 0 (range: 0.23-1.59)', 'Rings: 3 (range: 1.88-2.92)', 'Fsp3: 0.5 (range: 0.13-0.49)']",1,1,1,0.8768136620521545,0.8500505208969116,0.8371222853660584,0.3,0.2,0.2,326.3,4.19,20.3,0,2,1,3,0.5
CHEMBL2234915,CCCN(CCC)CC1=CC=CC(/C=N\NC(=O)C2=CC=NC=C2)=C1OCC,4,"['MW: 382.5 (range: 183.21-338.85)', 'TPSA: 66.8 (range: 18.70-56.82)', 'HBA: 5 (range: 1.96-4.87)', 'RotBonds: 11 (range: 0.61-4.74)']",1,1,1,0.8871071577072144,0.7607788801193237,0.9145559310913086,25.0,12.5,25.0,382.5,3.87,66.8,1,5,11,2,0.41
CHEMBL2391393,CC1=CC=C(N(CC2=CC=C(Cl)C=C2)CC2=NC3=CC=CC=C3N2)C=C1,4,"['MW: 361.9 (range: 183.21-338.85)', 'LogP: 5.73 (range: 1.39-4.01)', 'RotBonds: 5 (range: 0.61-4.74)', 'Rings: 4 (range: 1.88-2.92)']",1,1,1,0.7943849563598633,0.8535106897354126,0.9112558603286744,32.0,32.0,64.0,361.9,5.73,31.9,1,2,5,4,0.14
CHEMBL2235696,COC1=CC=C(C2SCC(=O)N2/N=C2\C(=O)NC3=CC=C(Cl)C=C23)C=C1,4,"['MW: 387.8 (range: 183.21-338.85)', 'TPSA: 71.0 (range: 18.70-56.82)', 'HBA: 5 (range: 1.96-4.87)', 'Rings: 4 (range: 1.88-2.92)']",1,1,1,0.8253367185592652,0.9084352254867554,0.8240535855293274,18.75,18.75,4.68,387.8,3.28,71.0,1,5,3,4,0.17
CHEMBL397285,O=C(NC1=CC=C2OC(CC3=CC=CC=C3)=NC2=C1)C1=CC=C(F)C=C1,4,"['MW: 346.4 (range: 183.21-338.85)', 'LogP: 4.81 (range: 1.39-4.01)', 'Rings: 4 (range: 1.88-2.92)', 'Fsp3: 0.05 (range: 0.13-0.49)']",1,1,1,0.6889149785041809,0.8987758755683899,0.9684578895568848,50.0,50.0,12.5,346.4,4.81,55.1,1,3,4,4,0.05
CHEMBL4748171,CC/C=C/C=C/[C@@]1(C)OC(C2=C(C)SC(C(=O)O)=C2)=C(C(=O)OC)C1=O,4,"['MW: 376.4 (range: 183.21-338.85)', 'TPSA: 89.9 (range: 18.70-56.82)', 'HBA: 6 (range: 1.96-4.87)', 'RotBonds: 6 (range: 0.61-4.74)']",1,1,1,0.7385015845298767,0.8218858182430268,0.9925343275070192,1.9,0.9,3.8,376.4,3.52,89.9,1,6,6,2,0.32
CHEMBL2238404,O=C(CC1=CC=C(Br)C=C1)NC1=CC=C(C2=NC3=CC=CC=C3S2)C=C1,4,"['MW: 423.3 (range: 183.21-338.85)', 'LogP: 5.91 (range: 1.39-4.01)', 'Rings: 4 (range: 1.88-2.92)', 'Fsp3: 0.05 (range: 0.13-0.49)']",1,1,1,0.8725800037384033,0.8167731761932373,0.8598036646842957,50.0,50.0,12.5,423.3,5.91,42.0,1,3,4,4,0.05
CHEMBL471532,ClC1=CC2=C(C=C1Cl)N(C1CCCC1)C=N2,4,"['LogP: 4.46 (range: 1.39-4.01)', 'TPSA: 17.8 (range: 18.70-56.82)', 'HBD: 0 (range: 0.23-1.59)', 'Rings: 3 (range: 1.88-2.92)']",1,1,1,0.9302361845970154,0.766234302520752,0.8504225611686707,6.25,50.0,12.5,255.1,4.46,17.8,0,2,1,3,0.42
CHEMBL573876,BrC1=CC=C2NC(/C=C/C3=CC=C4OCOC4=C3)=NC2=C1,4,"['MW: 343.2 (range: 183.21-338.85)', 'LogP: 4.22 (range: 1.39-4.01)', 'Rings: 4 (range: 1.88-2.92)', 'Fsp3: 0.06 (range: 0.13-0.49)']",1,1,1,0.8975884675979614,0.7263422131538391,0.9222333788871764,8.0,31.25,31.25,343.2,4.22,47.1,1,3,2,4,0.06
